11\11\1999,1.6225,1.6283,1.6293,1.6198,-0.41
12\11\1999,1.6158,1.6216,1.6225,1.61,-0.41
15\11\1999,1.622,1.6147,1.6241,1.6132,0.38
16\11\1999,1.6167,1.6204,1.6245,1.6146,-0.33
17\11\1999,1.6253,1.6162,1.6282,1.6153,0.53
18\11\1999,1.6154,1.624,1.6292,1.6123,-0.61
19\11\1999,1.6205,1.6143,1.6222,1.6118,0.32
22\11\1999,1.6204,1.6194,1.6239,1.6172,-0.01
23\11\1999,1.6252,1.6198,1.6282,1.6182,0.3
24\11\1999,1.6095,1.6244,1.6279,1.6044,-0.97
25\11\1999,1.6128,1.6081,1.6185,1.607,0.21
26\11\1999,1.6067,1.6119,1.6171,1.6017,-0.38
29\11\1999,1.6068,1.6054,1.6085,1.5983,0.01
30\11\1999,1.5988,1.606,1.6068,1.5908,-0.5
01\12\1999,1.6007,1.5981,1.6047,1.5946,0.12
02\12\1999,1.5998,1.6002,1.6034,1.5959,-0.06
03\12\1999,1.6004,1.5998,1.6034,1.5972,0.04
06\12\1999,1.6203,1.6015,1.6252,1.5989,1.24
07\12\1999,1.6248,1.6196,1.63,1.617,0.28
08\12\1999,1.6275,1.6239,1.6314,1.6219,0.17
09\12\1999,1.6239,1.6274,1.6291,1.6182,-0.22
10\12\1999,1.6208,1.6237,1.6267,1.6193,-0.19
13\12\1999,1.6242,1.6216,1.6261,1.6198,0.21
14\12\1999,1.6114,1.6242,1.6261,1.6097,-0.79
15\12\1999,1.6062,1.6107,1.6141,1.6019,-0.32
16\12\1999,1.6106,1.6053,1.6199,1.6052,0.27
17\12\1999,1.6041,1.6112,1.6191,1.602,-0.4
20\12\1999,1.6072,1.6044,1.6114,1.6011,0.19
21\12\1999,1.612,1.6092,1.614,1.6048,0.3
22\12\1999,1.6085,1.6123,1.6161,1.6048,-0.22
23\12\1999,1.6165,1.6081,1.6188,1.606,0.5
24\12\1999,1.6151,1.6152,1.6231,1.613,-0.09
27\12\1999,1.6172,1.6145,1.619,1.611,0.13
28\12\1999,1.6148,1.6165,1.6204,1.6138,-0.15
29\12\1999,1.6175,1.6154,1.6208,1.6139,0.17
30\12\1999,1.6157,1.6163,1.621,1.611,-0.11
31\12\1999,1.6181,1.6148,1.6191,1.612,0.15
03\01\2000,1.637,1.614,1.6397,1.614,1.17
04\01\2000,1.637,1.6358,1.6415,1.631,0
05\01\2000,1.642,1.635,1.6452,1.6349,0.31
06\01\2000,1.6468,1.6417,1.6513,1.6408,0.29
07\01\2000,1.6387,1.6465,1.65,1.6358,-0.49
10\01\2000,1.637,1.6385,1.6397,1.6322,-0.1
11\01\2000,1.6485,1.6365,1.6499,1.6355,0.7
12\01\2000,1.6478,1.6464,1.6514,1.6448,-0.04
13\01\2000,1.6467,1.6464,1.6503,1.6406,-0.07
14\01\2000,1.634,1.6476,1.648,1.6325,-0.77
17\01\2000,1.6332,1.6346,1.639,1.6292,-0.05
18\01\2000,1.637,1.6331,1.6391,1.6312,0.23
19\01\2000,1.644,1.6373,1.6454,1.6358,0.43
20\01\2000,1.6545,1.6446,1.6573,1.6414,0.64
21\01\2000,1.6494,1.654,1.6583,1.6475,-0.31
24\01\2000,1.6515,1.6463,1.656,1.6456,0.13
25\01\2000,1.6445,1.6524,1.6541,1.6428,-0.42
26\01\2000,1.6385,1.645,1.6472,1.6352,-0.36
27\01\2000,1.639,1.6388,1.6408,1.6336,0.03
28\01\2000,1.6191,1.639,1.6395,1.6158,-1.21
31\01\2000,1.6158,1.6228,1.6263,1.6117,-0.2
01\02\2000,1.6143,1.6156,1.6179,1.6094,-0.09
02\02\2000,1.6086,1.6149,1.6155,1.602,-0.35
03\02\2000,1.5979,1.6083,1.6095,1.5934,-0.67
04\02\2000,1.5923,1.5973,1.6024,1.5828,-0.35
07\02\2000,1.5982,1.5905,1.5994,1.588,0.37
